test_id,cart_vm_util,cart_perf_cpi,cart_perf_llc,cart_vm_netW,cart_vm_netR,cart_95th_latency,cart_workload,cart_workload_fail,cart_cont_cpu5s_avg,cart_cont_memW5s_avg,cart_cont_memR5s_avg,cart_cont_netW5s_avg,cart_cont_netR5s_avg,catalogue_vm_util,catalogue_perf_cpi,catalogue_perf_llc,catalogue_vm_netW,catalogue_vm_netR,catalogue_95th_latency,catalogue_workload,catalogue_workload_fail,catalogue_cont_cpu5s_avg,catalogue_cont_memW5s_avg,catalogue_cont_memR5s_avg,catalogue_cont_netW5s_avg,catalogue_cont_netR5s_avg,dispatch_vm_util,dispatch_perf_cpi,dispatch_perf_llc,dispatch_vm_netW,dispatch_vm_netR,dispatch_95th_latency,dispatch_workload,dispatch_workload_fail,dispatch_cont_cpu5s_avg,dispatch_cont_memW5s_avg,dispatch_cont_memR5s_avg,dispatch_cont_netW5s_avg,dispatch_cont_netR5s_avg,mongodb_vm_util,mongodb_perf_cpi,mongodb_perf_llc,mongodb_vm_netW,mongodb_vm_netR,mongodb_95th_latency,mongodb_workload,mongodb_workload_fail,mongodb_cont_cpu5s_avg,mongodb_cont_memW5s_avg,mongodb_cont_memR5s_avg,mongodb_cont_netW5s_avg,mongodb_cont_netR5s_avg,mysql_vm_util,mysql_perf_cpi,mysql_perf_llc,mysql_vm_netW,mysql_vm_netR,mysql_95th_latency,mysql_workload,mysql_workload_fail,mysql_cont_cpu5s_avg,mysql_cont_memW5s_avg,mysql_cont_memR5s_avg,mysql_cont_netW5s_avg,mysql_cont_netR5s_avg,payment_vm_util,payment_perf_cpi,payment_perf_llc,payment_vm_netW,payment_vm_netR,payment_95th_latency,payment_workload,payment_workload_fail,payment_cont_cpu5s_avg,payment_cont_memW5s_avg,payment_cont_memR5s_avg,payment_cont_netW5s_avg,payment_cont_netR5s_avg,rabbitmq_vm_util,rabbitmq_perf_cpi,rabbitmq_perf_llc,rabbitmq_vm_netW,rabbitmq_vm_netR,rabbitmq_95th_latency,rabbitmq_workload,rabbitmq_workload_fail,rabbitmq_cont_cpu5s_avg,rabbitmq_cont_memW5s_avg,rabbitmq_cont_memR5s_avg,rabbitmq_cont_netW5s_avg,rabbitmq_cont_netR5s_avg,ratings_vm_util,ratings_perf_cpi,ratings_perf_llc,ratings_vm_netW,ratings_vm_netR,ratings_95th_latency,ratings_workload,ratings_workload_fail,ratings_cont_cpu5s_avg,ratings_cont_memW5s_avg,ratings_cont_memR5s_avg,ratings_cont_netW5s_avg,ratings_cont_netR5s_avg,redis_vm_util,redis_perf_cpi,redis_perf_llc,redis_vm_netW,redis_vm_netR,redis_95th_latency,redis_workload,redis_workload_fail,redis_cont_cpu5s_avg,redis_cont_memW5s_avg,redis_cont_memR5s_avg,redis_cont_netW5s_avg,redis_cont_netR5s_avg,shipping_vm_util,shipping_perf_cpi,shipping_perf_llc,shipping_vm_netW,shipping_vm_netR,shipping_95th_latency,shipping_workload,shipping_workload_fail,shipping_cont_cpu5s_avg,shipping_cont_memW5s_avg,shipping_cont_memR5s_avg,shipping_cont_netW5s_avg,shipping_cont_netR5s_avg,user_vm_util,user_perf_cpi,user_perf_llc,user_vm_netW,user_vm_netR,user_95th_latency,user_workload,user_workload_fail,user_cont_cpu5s_avg,user_cont_memW5s_avg,user_cont_memR5s_avg,user_cont_netW5s_avg,user_cont_netR5s_avg,web_vm_util,web_perf_cpi,web_perf_llc,web_vm_netW,web_vm_netR,web_95th_latency,web_workload,web_workload_fail,web_cont_cpu5s_avg,web_cont_memW5s_avg,web_cont_memR5s_avg,web_cont_netW5s_avg,web_cont_netR5s_avg
Jul09_red_20_iperf_none_2455552,1.5230252638311481,1.011404114081799,172189.13333333333,0,0,130.0,244,0,1.4391598199999862,0,0.0,174593.0,162737.5,1.9115193208430914,1.0322921585864335,259686.76666666666,0,0,78.0,244,0,0.7007116882500206,0,0.0,142114.25,129410.0,1.6363636363636362,1.0009671514593779,291642.73333333334,0,0,0,0,0,0.05264470449999914,0,0.0,3089.0,8515.0,1.5780971236869603,1.0158477056402602,246789.7066666667,0,0,0,0,0,0.9055669880000238,176128.0,0.0,68946.6,61006.4,1.68159422131965,1.0436942044430777,272506.0,0,0,0,0,0,5.671798566999632,421888.0,0.0,20724342.2,156495.4,1.7096827951466171,1.0118176973968402,249939.2933333333,0,0,220.0,118,0,0.85796942700008,0,0.0,33883.0,42285.8,2.0126959247648903,1.0158973895343535,348403.2,0,0,0,0,0,4.859593160498662,0.0,0.0,13533.0,30772.0,1.5186086297247823,1.0205877735163165,189620.38666666666,0,0,270.0,60,0,1.1319628686000556,0.0,0.0,104101.2,109632.6,1.4821428571428572,1.0551896891748405,131959.0,0,0,0,0,0,0.48373591700010365,28672.0,0.0,95809.0,160245.0,1.9694002686435552,1.0310094575485014,370821.29333333333,0,0,130.0,118,0,15.87094403340252,0,0.0,34842414.4,17430224.6,1.524109517450099,1.027834994447616,205578.91999999998,0,0,75.0,125,0,0.292627117800059,0,0.0,43541.0,46873.4,2.8538970376761577,1.0011224436884776,395408.56666666665,0,0,19.0,122,0,4.790766192500882,0.0,0.0,123894342.0,123874003.0
Jul09_red_40_iperf_none_4555552,2.407573543736606,1.0664236373405365,326608.06666666665,0,0,200.0,496,0,1.5224730852500628,0,0.0,223146.5,195065.25,2.3432463578391993,1.0695138759461014,286810.42666666664,0,0,88.0,496,0,1.1742221532000499,0,0.0,213162.2,176141.8,1.917294413057125,1.0320133296762846,296940.5333333333,0,0,0,0,0,0.14626784450002195,0,0.0,3625.0,16856.0,1.8918653979581723,1.0352177653540633,297184.8666666667,0,0,0,0,0,1.0748906369998097,164659.2,0.0,116958.0,85866.4,2.3119020715630887,1.0746626124420517,338340.6933333333,0,0,0,0,0,12.845433248400422,2855731.2,0.0,45144259.0,297720.8,2.080013637249172,1.0538545268285324,316286.64,0,0,310.0,247,0,1.689421070400013,0,0.0,59009.4,65748.8,1.920175438596491,1.0447402006673032,317355.1,0,0,0,0,0,4.852540757000725,0.0,0.0,37707.0,48006.0,1.8631324544883867,1.0700933624574611,228179.6,0,0,410.0,158,0,1.942088181600181,0.0,0.0,149908.8,166196.4,1.6,1.1018330085901917,155418.93333333332,0,0,0,0,0,0.8389903720003531,24576.0,0.0,153342.0,258451.0,2.4680979284369116,1.0352834176120433,444622.7733333333,0,0,230.0,247,0,35.142128255403804,0,0.0,93286126.0,51129165.4,1.7393507780751314,1.0569899579027884,226190.63999999998,0,0,290.0,188,0,0.5514946448000699,0,0.0,56606.8,48026.4,4.606974159488747,0.9810951663581363,568895.8333333333,0,0,150.0,248,0,10.142070168001482,0.0,0.0,189501185.0,189459959.0
Jul09_red_20_iperf_none_2255552,1.868421052631579,0.9995573914719393,208051.63333333333,0,0,140.0,240,0,1.511573499500173,0,0.0,176200.5,168542.0,1.8898809523809526,1.0299657037547958,314339.3666666667,0,0,89.0,240,0,1.1076557690000755,0,0,210872.0,204023.5,1.6816239316239314,1.0071547111320562,256989.13333333333,0,0,0,0,0,0.058595681999993765,0,0.0,3416.0,11734.0,1.6894672024889807,1.01285602708711,263989.70666666667,0,0,0,0,0,0.8658146276000764,143360.0,0.0,62587.8,58863.0,1.819537197313813,1.033497152967942,282593.85333333333,0,0,0,0,0,7.916870077599469,743014.4,0.0,30886736.2,200574.0,1.7612579515664817,1.0185695817308633,243368.13333333336,0,0,290.0,119,0,0.7913201126002491,0,0.0,30412.2,40552.8,1.9212448860315605,1.0236791068656004,320773.43333333335,0,0,0,0,0,4.9996590034966175,0.0,0.0,16477.0,47480.5,1.5316325054256086,1.0167784792845516,189828.81333333332,0,0,320.0,70,0,1.1791924295998968,0.0,0.0,92201.2,97190.6,1.4545454545454546,1.0355641756960223,119779.93333333333,0,0,0,0,0,0.5006703110002491,0.0,0.0,58161.0,97324.0,2.045852259716113,1.0294958035286688,363367.94666666666,0,0,110.0,119,0,18.76864981860126,0,0.0,56465494.8,31918747.8,1.5640638876027537,1.0227907400644685,209492.92,0,0,83.0,114,0,0.29829871140002523,0,0.0,32373.6,36975.4,3.25,0.9953285913963238,476455.5,0,0,62.0,120,0,5.8206836260051205,0.0,0.0,174512038.0,174604858.0
Jul09_red_10_iperf_none_2355552,1.5985645933014354,1.001198572472981,177763.23333333334,0,0,120.0,130,0,0.830824498000311,0,0.0,103160.5,89838.5,1.7862573099415204,1.0180050795081435,289592.7111111111,0,0,91.0,130,0,0.6280235143332883,0,0.0,76222.0,65146.75,1.6957671957671958,1.0013954937925162,257940.96666666667,0,0,0,0,0,0.08716090550004107,0,0.0,2837.0,10517.0,1.4994438290082575,0.9942968097875935,227414.25333333333,0,0,0,0,0,0.8178372712001589,164659.2,0.0,48728.0,37929.8,1.6376762661370408,1.0185733712892497,241828.98666666663,0,0,0,0,0,4.800605112799667,453836.8,0.0,17064398.8,118687.4,1.7042472010747876,1.0059967477209635,234414.02666666667,0,0,230.0,65,0,0.5417432377998637,0,0.0,18529.4,21176.2,1.9127591706539075,1.0170108352635139,315639.6333333333,0,0,0,0,0,6.768818967501431,0.0,0.0,15059.5,17755.0,1.5041452289728152,1.0003690746371194,162131.6666666667,0,0,230.0,36,0,0.9449240381997527,0.0,0.0,70226.2,71860.8,1.3518518518518519,1.0355228086698778,99774.4,0,0,0,0,0,0.4111833850001858,0.0,0.0,58445.0,97784.0,1.8519598997493734,1.0254589005770067,341045.96,0,0,65.0,65,0,11.287948842600509,0,0.0,30691812.2,16064160.6,1.4434394288330528,1.002505612330972,176757.61333333334,0,0,67.0,46,0,0.19013944040004702,0,0.0,23513.6,22149.6,2.7017543859649122,0.9900705806246621,379182.0,0,0,17.0,65,0,4.22546844199843,0.0,0.0,83596374.5,83590751.0
Jul09_red_30_iperf_none_4555552,1.9882821277331257,1.0361075767189734,251384.28333333335,0,0,140.0,326,0,0.9948937029998959,0,0.0,158754.25,137983.5,2.0871818854066917,1.04227409019903,276875.0266666667,0,0,100.0,326,0,0.8157462834000129,0,0.0,164058.8,135943.4,1.8367794486215538,1.0284611394156609,335855.4,0,0,0,0,0,0.11767331300005379,0,0.0,3440.0,17044.5,1.6062184630954963,1.0222318823549759,283157.27999999997,0,0,0,0,0,0.920435487999994,191692.8,0.0,97916.4,74087.0,2.0367897015265433,1.0544086986587562,330968.2133333333,0,0,0,0,0,10.055592207000108,979763.2,0.0,44355233.2,277521.4,1.8767660530636938,1.0308173977921615,277715.56,0,0,300.0,161,0,1.1521813737998556,0,0.0,49933.6,55070.8,2.204007285974499,1.0230991113474404,384903.56666666665,0,0,0,0,0,6.770744182997646,0.0,0.0,24714.0,31480.5,1.6170676691729322,1.0350767781366503,206437.70666666667,0,0,310.0,93,0,1.5082391604001402,0.0,0.0,121509.2,131410.0,1.4210526315789473,1.0604679495262304,137378.53333333333,0,0,0,0,0,0.6199470369997471,0.0,0.0,130166.0,223284.0,2.2202135213670124,1.0292488997548528,448198.95999999996,0,0,540.0,161,0,28.680860572798657,0,0.0,78709816.2,41261815.8,1.5598194456982937,1.0393666156995163,209768.4,0,0,110.0,181,0,0.45311841779996553,0,0.0,53850.4,45887.2,3.727049180327869,0.9889480245596215,529030.9,0,0,67.0,163,0,9.319205096998814,0.0,0.0,172598203.0,172686908.5
Jul09_red_40_iperf_none_2245552,2.013380909901873,1.0177318904079375,264159.6333333333,0,0,220.0,462,0,2.637630520500352,0,0.0,401444.0,355514.5,3.1207279799944425,1.0555398193378762,480140.1,0,0,140.0,462,0,2.1908001565000177,0,0,508971.0,428545.0,1.9901515151515152,1.0475982891816424,294273.2,0,0,0,0,0,0.08760326350000902,0,0.0,3570.0,15662.0,1.9080665411173883,1.0495298257358348,287767.85333333333,0,0,0,0,0,1.02346774520052,161382.4,0.0,121881.8,92308.2,2.128977587279079,1.0684571902265632,333498.62666666665,0,0,0,0,0,11.404324969399159,1883340.8,0.0,46096358.6,297228.8,2.038685398358943,1.051800554458722,323506.9,0,0,300.0,229,0,1.911677309249903,0,0.0,81281.5,91105.75,2.0462962962962963,1.034764488997899,326591.43333333335,0,0,0,0,0,5.631621651000273,0.0,0.0,34489.0,57381.5,1.74858934169279,1.0525640371728338,202390.58666666667,0,0,350.0,125,0,1.87160024059973,0.0,0.0,153309.2,169521.0,1.5172413793103448,1.0554818252744977,123588.6,0,0,0,0,0,0.7097059290003926,0.0,0.0,160467.0,264598.0,2.2620030816640986,1.034911997009544,433149.1733333332,0,0,240.0,229,0,29.04309641519667,0,0.0,92765823.0,47547734.2,1.822758203222844,1.0656322884309017,222665.25333333333,0,0,230.0,253,0,0.5070206977999476,0,0.0,68384.8,61914.6,3.9385245901639343,1.0052967404925022,548537.2333333334,0,0,160.0,231,0,9.12828817350453,0.0,0.0,188606342.5,188492931.0
Jul09_red_40_iperf_none_2355552,1.964434565156988,1.047915936807652,185263.46666666667,0,0,160.0,490,0,2.4547943529998975,0,0.0,268109.0,236146.5,2.9333333333333336,1.0807334936565478,375434.82222222217,0,0,95.0,490,0,1.550915482666677,0,0.0,380224.0,430915.0,2.3684284906726965,1.0303902404874776,345694.36666666664,0,0,0,0,0,0.12276543800003425,0,0.0,4551.0,25336.0,2.0333731592108917,1.0399696894388692,290624.60000000003,0,0,0,0,0,1.0780032671998812,187596.8,0.0,145650.4,425367.2,2.1995006595063122,1.0959129474697407,338098.2533333333,0,0,0,0,0,11.136178319001555,2362572.8,0.0,38359808.8,680962.0,2.2894072427526164,1.0575991412822574,324825.04,0,0,300.0,241,0,1.58778481020002,0,0.0,67192.2,147349.4,2.4101992268807613,1.0119683332279137,383392.1333333333,0,0,0,0,0,5.865814271498266,0.0,0.0,42509.0,47455.0,1.9055013000783378,1.0632018649887773,231809.25333333333,0,0,350.0,150,0,1.9207276715998773,0.0,0.0,174089.0,581756.4,1.4642857142857142,1.1054586806948283,114303.33333333333,0,0,0,0,0,0.7267815829995925,0.0,0.0,108544.0,178213.0,2.6377279263733104,1.036501179031125,437632.36000000004,0,0,130.0,241,0,24.72161001760378,0,0.0,78353159.6,39052551.0,1.6776852081243145,1.0786891233285942,222363.18666666668,0,0,160.0,230,0,0.5143524894000067,0,0.0,71019.2,377635.0,4.827322404371585,0.9859632147938808,521414.9666666667,0,0,380.0,245,0,9.490924007499984,0.0,0.0,178708950.5,178579403.5
Jul09_red_40_iperf_none_2255552,2.1722677595628417,1.0343768207502462,233268.6666666667,0,0,180.0,472,0,2.816884399999708,0,0.0,331557.0,386315.0,3.4508196721311477,1.0063025725132106,491561.9666666667,0,0,110.0,472,0,2.7108670869997695,0,0,551692.5,640562.0,2.142812303829253,1.0420909561542733,387653.26666666666,0,0,0,0,0,0.09756184749998553,0,0.0,4459.0,23710.0,1.9696835865713187,1.0305824301289097,272705.30666666664,0,0,0,0,0,1.0432802760002176,176947.2,0.0,126413.8,166821.8,2.193378716310086,1.0740208274494283,361987.8,0,0,0,0,0,12.914022364201447,2970419.2,0.0,54089612.6,387882.2,2.175444360342752,1.0417477335965457,323023.05333333334,0,0,310.0,234,0,1.7121854230002214,0,0.0,66896.2,112729.0,2.2310949788263765,1.0142589954282442,388170.30000000005,0,0,0,0,0,5.880116182999927,0.0,0.0,28171.5,152592.5,1.6758533039367756,1.0632660726142353,195925.86666666667,0,0,410.0,145,0,2.0139530504000276,0.0,0.0,165944.6,184156.2,1.6724137931034482,1.0916967102221626,105332.86666666667,0,0,0,0,0,0.8047406859996045,32768.0,0.0,166257.0,272570.0,2.5866687106571744,1.0542008874983335,471899.9600000001,0,0,170.0,234,0,33.821276777203636,0,0.0,77260286.4,43987815.2,1.8416152954364715,1.0539869719281694,217975.65333333332,0,0,230.0,227,0,0.5530742560000619,0,0.0,67690.0,135291.2,4.524590163934427,0.9870624109995314,586052.2,0,0,220.0,236,0,11.183880583499217,0.0,0.0,233782700.5,234641982.5
Jul09_red_50_iperf_none_2255552,2.178938594053904,1.057203888455771,241321.76666666666,0,0,170.0,542,0,3.3578243709998787,0,0.0,556107.0,566510.0,3.5928490672696443,1.003036213291197,492664.2666666667,0,0,90.0,542,0,2.809523883000111,0,0,573943.5,595916.5,2.1870865688812193,1.0483976229463,362213.8333333333,0,0,0,0,0,0.10885735299994792,0,0.0,3851.0,19374.5,1.9349477722681006,1.0312686517657546,299253.38666666666,0,0,0,0,0,1.0961242499998207,155648.0,0.0,136830.0,146863.2,2.2484588311568023,1.0946025737995133,361230.76,0,0,0,0,0,15.00397455860084,2247065.6,0.0,56085508.0,388236.0,2.25018338427341,1.0587450771011742,348336.0266666667,0,0,350.0,269,0,1.945723826399859,0,0.0,73201.6,112569.8,2.321907600596125,1.0136317743659073,407619.06666666665,0,0,0,0,0,7.848287395997659,0.0,0.0,41346.5,133900.5,1.7772792149866188,1.08113786360772,220493.50666666665,0,0,620.0,175,0,2.3283083475998296,0.0,0.0,172937.0,193957.2,1.6842105263157894,1.09201226945298,144654.73333333334,0,0,0,0,0,0.8473135929998534,0.0,0.0,166840.0,270594.0,2.7442622950819677,1.0608227850623442,504398.2533333333,0,0,200.0,269,0,39.22182066360074,0,0.0,115883513.8,61284680.4,1.8308845755534364,1.0580567453779879,228184.4533333333,0,0,300.0,296,0,0.6064174639999834,0,0.0,76013.0,119921.0,4.959016393442623,0.9716244633322466,613939.9333333333,0,0,260.0,271,0,11.774993089001782,0.0,0.0,217117521.0,217088209.5
Jul09_red_60_iperf_none_2355552,2.564890710382514,1.0612291075979183,313678.43333333335,0,0,180.0,628,0,2.862663950500064,0,0.0,620101.0,550163.5,3.901410992197705,1.0701935302945331,529524.8444444444,0,0,140.0,628,0,2.2320133453334186,0,0.0,451508.3333333333,372186.0,2.7180913348946136,1.0436459057146095,441885.6333333333,0,0,0,0,0,0.1511472429999814,0,0.0,5532.0,33306.0,2.4451743619715565,1.0546268613100753,360788.94666666666,0,0,0,0,0,1.133166969799845,161382.4,0.0,156708.4,118649.0,2.575877686330494,1.1013068568587878,470025.0933333334,0,0,0,0,0,18.264256630597856,2958131.2,0.0,75982996.0,436847.4,2.608544040011114,1.0647908443684102,400685.92,0,0,640.0,307,0,2.1412836725999567,0,0.0,81565.6,91926.8,2.4452185792349725,1.0250543772970249,383628.10000000003,0,0,0,0,0,6.592579126000032,0.0,0.0,32889.0,41406.5,2.1417433414043585,1.0711997481206974,276577.82666666666,0,0,620.0,189,0,2.2388808335998873,0.0,0.0,198582.8,222641.8,1.5593220338983051,1.0987973338323975,164379.0,0,0,0,0,0,0.9639673079996101,0.0,0.0,179732.0,288751.0,3.2366497079329184,1.0520299661732702,590522.4266666666,0,0,840.0,307,0,50.90267297440232,0,0.0,130173864.8,73980635.0,1.84198129748685,1.0754960296649094,259578.6666666667,0,0,550.0,336,0,0.6758318719999551,0,0.0,81563.6,68161.0,6.344262295081967,0.9754284992380817,717601.5666666667,0,0,490.0,314,0,14.905255873002773,0.0,0.0,304397328.5,304096751.0
